# volk-harness-report v2
kernel,impl,mode,result,failed_vlens,max_err
volk_16i_32fc_dot_prod_32fc,u_sse,immutable,ok,,
volk_16i_32fc_dot_prod_32fc,a_avx2,impl,ok,,0.0142
volk_16i_32fc_dot_prod_32fc,a_avx2_fma,impl,ok,,0.0142
volk_16i_32fc_dot_prod_32fc,a_sse,impl,ok,,0.0124
volk_16i_32fc_dot_prod_32fc,generic,impl,ok,,0
volk_16i_32fc_dot_prod_32fc,u_avx2,impl,ok,,0.0142
volk_16i_32fc_dot_prod_32fc,u_avx2_fma,impl,ok,,0.0142
volk_16i_32fc_dot_prod_32fc,u_sse,impl,ok,,0.0124
volk_16i_32fc_dot_prod_32fc,generic,misaligned,ok,,
volk_16i_32fc_dot_prod_32fc,u_avx2,misaligned,ok,,
volk_16i_32fc_dot_prod_32fc,u_avx2_fma,misaligned,ok,,
volk_16i_32fc_dot_prod_32fc,u_sse,misaligned,ok,,
volk_16i_branch_4_state_8,-,canary,skip,no-qa-entry,
volk_16i_branch_4_state_8,-,immutable,skip,no-qa-entry,
volk_16i_branch_4_state_8,-,misaligned,skip,no-qa-entry,
volk_16i_branch_4_state_8,-,sweep,skip,no-qa-entry,
volk_16i_convert_8i,a_avx2,canary,ok,,
volk_16i_convert_8i,a_avx512bw,canary,ok,,
volk_16i_convert_8i,a_sse2,canary,ok,,
volk_16i_convert_8i,generic,canary,ok,,
volk_16i_convert_8i,u_avx2,canary,ok,,
volk_16i_convert_8i,u_avx512bw,canary,ok,,
volk_16i_convert_8i,u_sse2,canary,ok,,
volk_16i_convert_8i,a_avx2,immutable,ok,,
volk_16i_convert_8i,a_avx512bw,immutable,ok,,
volk_16i_convert_8i,a_sse2,immutable,ok,,
volk_16i_convert_8i,generic,immutable,ok,,
volk_16i_convert_8i,u_avx2,immutable,ok,,
volk_16i_convert_8i,u_avx512bw,immutable,ok,,
volk_16i_convert_8i,u_sse2,immutable,ok,,
volk_16i_convert_8i,a_avx2,impl,ok,,0
volk_16i_convert_8i,a_avx512bw,impl,ok,,0
volk_16i_convert_8i,a_sse2,impl,ok,,0
volk_16i_convert_8i,generic,impl,ok,,0
volk_16i_convert_8i,u_avx2,impl,ok,,0
volk_16i_convert_8i,u_avx512bw,impl,ok,,0
volk_16i_convert_8i,u_sse2,impl,ok,,0
volk_16i_convert_8i,generic,misaligned,ok,,
volk_16i_convert_8i,u_avx2,misaligned,ok,,
volk_16i_convert_8i,u_avx512bw,misaligned,ok,,
volk_16i_convert_8i,u_sse2,misaligned,ok,,
volk_16i_max_star_16i,-,canary,skip,no-qa-entry,
volk_16i_max_star_16i,-,immutable,skip,no-qa-entry,
volk_16i_max_star_16i,-,misaligned,skip,no-qa-entry,
volk_16i_max_star_16i,-,sweep,skip,no-qa-entry,
volk_16i_max_star_horizontal_16i,-,canary,skip,no-qa-entry,
volk_16i_max_star_horizontal_16i,-,immutable,skip,no-qa-entry,
volk_16i_max_star_horizontal_16i,-,misaligned,skip,no-qa-entry,
volk_16i_max_star_horizontal_16i,-,sweep,skip,no-qa-entry,
volk_16i_permute_and_scalar_add,-,canary,skip,no-qa-entry,
volk_16i_permute_and_scalar_add,-,immutable,skip,no-qa-entry,
volk_16i_permute_and_scalar_add,-,misaligned,skip,no-qa-entry,
